# MARIO
0	144	240	1
# GROUND
4	0	112	11	160	80
4	1920	160	11	128	32
4	1936	96	11	32	64
4	2032	0	11	16	160
4	2192	144	11	32	32
4	2064	176	11	496	16
# BLock
#id	x	y	type	type-brick	child	numhit
# group 1						
4	224	112	5	13	26	1
4	240	112	5	13	26	1
4	256	112	5	13	26	1
4	272	112	5	13	26	1
# group 2						
						
4	384	96	5	13	26	1
4	400	96	5	13	26	1
4	416	96	5	13	26	1
4	432	96	5	13	26	1
4	448	96	5	13	26	1
# group 3						
4	608	48	5	13	26	1
4	624	48	5	13	26	1
4	640	48	5	13	28	1
4	656	48	5	13	26	1
# group 4						
4	640	128	5	13	26	1
4	656	128	5	13	26	1
# group 5						
4	752	80	5	13	26	1
# group 6						
4	752	112	5	13	26	1
4	752	128	5	13	26	1
4	768	128	5	13	26	1
4	784	128	5	13	26	1
4	800	128	5	13	26	1
# group 7						
4	864	96	5	13	26	1
4	864	112	5	13	26	1
4	864	128	5	13	26	1
4	864	144	5	13	26	1
4	880	144	5	13	26	1
4	896	144	5	13	26	1
# group 8						
4	944	96	5	13	26	1
4	944	112	5	13	26	1
4	960	112	5	13	29	1
# group 9						
4	960	160	5	13	26	1
4	976	160	5	13	26	1
4	992	160	5	13	26	1
4	1008	160	5	13	26	1
# group 10						
4	1008	112	5	13	26	10
4	1024	112	5	13	26	1
4	1040	112	5	13	26	1
4	1056	112	5	13	26	1
4	1072	112	5	13	26	1
# group 11						
4	1168	144	5	13	26	1
4	1184	144	5	13	26	1
4	1200	144	5	13	26	1
4	1216	144	5	13	26	1
# group 13						
4	1184	64	5	13	26	1
4	1200	64	5	13	26	1
4	1216	64	5	13	26	1
4	1232	64	5	13	26	1
4	1232	48	5	13	28	1
# group 14						
4	1264	128	5	13	26	1
4	1280	128	5	13	26	1
# group 15						
4	1392	64	5	13	26	1
4	1408	64	5	13	26	1
4	1424	64	5	13	26	1
# group 16						
4	1536	48	5	13	26	10
4	1536	64	5	13	26	1
# group 17						
4	1536	128	5	13	26	1
4	1536	144	5	13	26	1
4	1536	160	5	13	26	1
4	1552	160	5	13	26	1
4	1568	160	5	13	26	1
4	1584	160	5	13	26	1
# group 18						
4	1728	48	5	13	26	1
4	1728	64	5	13	26	1
4	1728	80	5	13	26	1
# group 19						
4	1776	128	5	13	26	1
4	1792	128	5	13	26	1
4	1808	128	5	13	26	1
#
#id	x	y	type	4-idPort	5-width	6-height	7-typeIn	8-posX	9-posY	10-leftScene	11-topScene	12-righttScene	13-botScene		
#5	1936	64	33	1	32	32	1	2192	112	2064	0	2560	0		16
#5	70	80	33	1	32	32	1	2192	112	2064	0	2560	0		16
#Card						
4	2448	80	5	37	0	1
