#	id	file_path	transparent_color_r	g	b
[TEXTURES]
1	resource\textures\mario.png	255	255	255
4	resource\textures\enemies.png	68	145	190
3	resource\textures\items-objects.png	64	128	0
2	resource\textures\enemy.png	68	145	190
5	resource\textures\introsceneTitle.png	153	217	234
6	resource\textures\tiles-3.png	255	127	127
7	resource\textures\Hub.png	255	255	255
-100	resource\textures\bbox.png	255	255	255

#	id	left	top	right	bottom	texture_id
[SPRITES]
101	45	24	90	75	1
201	45	144	90	195	1
102	162	15	213	81	1
202	162	135	213	201	1
103	282	12	333	87	1
203	282	132	333	207	1
105	522	0	573	66	1
205	522	150	573	216	1
401	648	264	687	315	1
411	528	264	567	315	1
402	765	264	813	315	1
412	402	264	450	315	1
403	1002	264	1053	315	1
413	162	264	213	315	1
501	645	384	690	435	1
511	525	384	570	435	1
502	762	384	813	435	1
512	402	384	453	435	1
505	1124	386	1173	435	1
601	642	504	693	555	1
602	762	504	813	555	1
611	522	504	573	555	1
612	402	504	453	555	1
603	1005	504	1050	555	1
604	1125	504	1173	555	1
613	165	504	210	555	1
614	42	504	90	555	1
701	642	624	693	675	1
711	522	624	573	675	1
705	1122	624	1173	675	1
715	42	624	93	675	1
801	645	726	690	810	1
811	525	726	570	810	1
802	762	726	813	810	1
803	882	729	933	810	1
812	402	726	453	810	1
813	282	729	333	810	1
804	1002	729	1053	810	1
814	165	729	213	810	1
805	1125	729	1173	810	1
815	45	729	90	810	1
901	642	846	693	933	1
911	522	846	573	933	1
902	753	846	822	933	1
912	396	846	456	933	1
905	1124	848	1173	930
10001	636	966	696	1050	1
10002	756	966	816	1050	1
10003	876	966	936	1050	1
10101	513	966	579	1050	1
10102	399	966	459	1050	1
10103	279	966	339	1050	1
10004	990	966	1035	1050	1
10005	1065	966	1113	1050	1
10006	1140	966	1188	1050	1
10104	180	966	225	1050	1
10105	102	966	150	1050	1
10106	27	966	75	1050	1
11003	996	1089	1056	1170	1
11103	159	1089	219	1170	1
11901	651	1089	699	1170	1
11902	522	1089	567	1170	1
13001	633	1326	699	1413	1
13101	552	1326	618	1413	1
13003	855	1326	924	1413	1
13004	939	1326	1011	1413	1
13103	303	1326	372	1413	1
13104	207	1326	279	1413	1
13005	1029	1326	1101	1413	1
13105	132	1326	204	1413	1
13006	1113	1326	1182	1413	1
13106	33	1326	102	1413	1
13301	627	1326	699	1413	1
13302	705	1326	777	1413	1
13303	1041	1446	1113	1533	1
13304	411	1326	510	1413	1
13305	1146	1446	1218	1533	1
13401	528	1326	618	1413	1
13402	414	1326	510	1413	1
13403	1044	1446	1113	1533	1
13404	705	1326	777	1413	1
13405	1140	1446	1218	1533	1
14001	642	1443	693	1536	1
14101	522	1443	573	1536	1
14002	738	1443	807	1536	1
14102	408	1443	477	1536	1
14005	1064	1448	1113	1533	1
15001	630	1566	705	1653	1
15002	750	1566	825	1653	1
15003	870	1566	945	1653	1
