#	id	file_path	transparent_color_r	g	b
[TEXTURES]
5	resource\textures\title.png	230	130	155
[ANIMATION_SETS]
# === MARIO ===
0	1	101	1	102	2	201	4	202	5	203	6	204	7	205	9	206	10	300	17	301	18	302	12	303	13	306	25	307	26	308	28	309	29	308	31	309	32	207	47	208	48	501	53	502	54	503	50	504	51	505	55	506	56	515	57	516	58	599	52	103	59
0	2	111	1	112	2	211	4	212	5	213	6	214	7	215	9	216	10	310	17	311	18	312	12	313	13	314	20	315	21	316	25	317	26	318	28	319	29	318	31	319	32	217	47	218	48	511	53	512	54	513	50	514	51	515	57	516	58	505	55	506	56	113	59
0	3	121	1	122	2	221	4	222	5	223	6	224	7	225	9	226	10	320	17	321	18	322	12	323	13	324	20	325	21	326	25	327	26	328	28	329	29	421	23	422	24	423	31	424	32	425	34	426	35	427	37	428	38	227	47	228	48	521	53	522	54	523	50	524	51	123	59
0	4	131	1	132	2	231	4	232	5	233	6	234	7	235	9	236	10	330	17	331	18	332	12	333	13	334	20	335	21	336	25	337	26	338	28	339	29	338	31	339	32	431	41	432	42	433	44	434	45	237	47	238	48	531	53	532	54	533	50	534	51	133	59
# === BLOCK ===
# nor 
4	14	804	0
# question
4	12	805	0	806	1
# breakable
4	13	807	0	806	1
# cloud
4	15	808	0
# btn
4	30	809	0	819	1
# === ITEM ===
# leaf
3	29	803	2	813	3
# coin
3	26	801	0	811	1
# mushRoom
3	27	802	0
3	28	812	0


# == weapon ===
2	8	537	2	538	3	539	4
# === GOOMBA ===
1	20	901	5	901	6	902	7	903	8
1	21	911	5	911	6	912	7	913	8	914	9	914	10
# === KOOMBA ===
1	17	10001	5	10101	6	10200	7	10201	8	10202	11	10203	12	10300	13	10301	14
1	18	11001	5	11002	6	11200	7	11201	8	11202	11	11203	12	11300	13	11301	14	11101	9	11102	10
# === PLANT ===
1	23	13101	16	13102	17	13201	18	13202	19	539	7	539	8
1	24	12101	16	12102	17	12201	18	12202	19	539	7	539	8
1	22	12000	15	539	7	539	8

#id	link	sizecell	paddingleft	paddingTop	R	G	B(background)
[MAPS]
1	resource\data\World1\world1-scene4_map.txt	176	0	0	156	252	240

[OBJECTS]
# MARIO
0	48	80	1
# GROUND
4	0	112	11	160	80
4	1920	160	11	128	32
4	1936	96	11	32	64
4	2032	0	11	16	160
4	2192	144	11	32	32
4	2064	176	11	496	16
# BLock
#id	x	y	type	type-brick	child	numhit
# group 1						
4	224	112	5	13	26	1
4	240	112	5	13	26	1
4	256	112	5	13	26	1
4	272	112	5	13	26	1
# group 2						
						
4	384	96	5	13	26	1
4	400	96	5	13	26	1
4	416	96	5	13	26	1
4	432	96	5	13	26	1
4	448	96	5	13	26	1
# group 3						
4	608	48	5	13	26	1
4	624	48	5	13	26	1
4	640	48	5	13	28	1
4	656	48	5	13	26	1
# group 4						
4	640	128	5	13	26	1
4	656	128	5	13	26	1
# group 5						
4	752	80	5	13	26	1
# group 6						
4	752	112	5	13	26	1
4	752	128	5	13	26	1
4	768	128	5	13	26	1
4	784	128	5	13	26	1
4	800	128	5	13	26	1
# group 7						
4	864	96	5	13	26	1
4	864	112	5	13	26	1
4	864	128	5	13	26	1
4	864	144	5	13	26	1
4	880	144	5	13	26	1
4	896	144	5	13	26	1
# group 8						
4	944	96	5	13	26	1
4	944	112	5	13	26	1
4	960	112	5	13	29	1
# group 9						
4	960	160	5	13	26	1
4	976	160	5	13	26	1
4	992	160	5	13	26	1
4	1008	160	5	13	26	1
# group 10						
4	1008	112	5	13	26	10
4	1024	112	5	13	26	1
4	1040	112	5	13	26	1
4	1056	112	5	13	26	1
4	1072	112	5	13	26	1
# group 11						
4	1168	144	5	13	26	1
4	1184	144	5	13	26	1
4	1200	144	5	13	26	1
4	1216	144	5	13	26	1
# group 13						
4	1184	64	5	13	26	1
4	1200	64	5	13	26	1
4	1216	64	5	13	26	1
4	1232	64	5	13	26	1
4	1232	48	5	13	28	1
# group 14						
4	1264	128	5	13	26	1
4	1280	128	5	13	26	1
# group 15						
4	1392	64	5	13	26	1
4	1408	64	5	13	26	1
4	1424	64	5	13	26	1
# group 16						
4	1536	48	5	13	26	10
4	1536	64	5	13	26	1
# group 17						
4	1536	128	5	13	26	1
4	1536	144	5	13	26	1
4	1536	160	5	13	26	1
4	1552	160	5	13	26	1
4	1568	160	5	13	26	1
4	1584	160	5	13	26	1
# group 18						
4	1728	48	5	13	26	1
4	1728	64	5	13	26	1
4	1728	80	5	13	26	1
# group 19						
4	1776	128	5	13	26	1
4	1792	128	5	13	26	1
4	1808	128	5	13	26	1
#
#id	x	y	type	4-idPort	5-width	6-height	7-typeIn	8-posX	9-posY	10-leftScene	11-topScene	12-righttScene	13-botScene		
#5	1936	64	33	1	32	32	1	2192	112	2064	0	2560	0		16
5	70	80	33	1	32	32	1	2192	112	2064	0	2560	0		16
#Card						
4	2448	80	5	37	0	1


[SETTINGS]
<<<<<<< HEAD
cam	0	0	2064	0	1
time	300
>>>>>>> parent of 58ab2d9... add blockMove
